objectid,filename,isbn-13,title,creator,release date,description,subject,identifier,type,format,language,,,,,,,,,
coll001,TheWomen-Cover-2307.jpg,978-1250178633,The Women,Kristin Hannah,6-Feb-24,Book Cover,Vietnam; Women; Military; PTSD,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,,,,,,,,
coll002,TheFourWinds-Cover-PB-2303.jpg,978-1250178602,The Four Winds,Kristin Hannah,2-Feb-21,Book Cover,Dust Bowl; Great Depression; Texas; California; America,,Image;StillImage,image/jpeg,eng,,,,,,,,,
coll003,TheGreatAlone_PBCover_0919.jpg,978-0312577230,The Great Alone,Kristin Hannah,6-Feb-18,Book Cover,Alaska,,Image;StillImage,image/jpeg,eng,,,,,,,,,
coll004,Nightingale-PB.jpg,978-0312577223,The Nightingale,Kristin Hannah,3-Feb-15,Book Cover,WW2; France; Nazi; Sisters,,Image;StillImage,image/jpeg,eng,,,,,,,,,
coll005,firefly-lane-kristin-hannah.jpg,978-0312364083,Firefly Lane,Kristin Hannah,5-Feb-08,Book Cover,Pacific NW; Female Friendship,,Image;StillImage,image/jpeg,eng,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
